Store_Number,Store_Name,Status,WFM_Region,WFM_Region_Abbr,Op_Area,UNFI_DC,UNFI_Region,Distributor,Merch_Partner,Wire_Rack,DC_Source,Address,City,State,Zip,Latitude,Longitude
10618,Beverly,Open,North Atlantic,,North Atlantic & International,"Chesterfield, NH",,Rainforest,Final Touch,No,inferred (region modal),150 Brimbal Ave,Beverly,MA,1915,42.5735359,-70.8794
10022,Beverly Hills,Open,Southern Pacific,SP,California,"Moreno Valley, CA",West,UNFI,Basemakers,No,mapped,239 N Crescent Dr,Beverly Hills,CA,90210,34.0694656,-118.3984
10641,Birmingham,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Uncovered,No,mapped,2100 E Maple Rd,Birmingham,MI,48009,42.5467377,-83.1945
10096,Biscayne,Open,Florida,FL,Southeast,"Sarasota, FL",East,UNFI,Final Touch,No,mapped,21105 Biscayne Blvd,Aventura,FL,33180,25.9711342,-80.1408
10366,Bishops Corner,Open,North Atlantic,,North Atlantic & International,"Dayville, CT",East,Rainforest,Final Touch,No,mapped,340 N Main St,West Hartford,CT,6117,41.784729,-72.7455
10337,Blithedale,Open,Northern California,NC,California,"Rocklin, CA",West,UNFI,Uncovered,No,mapped,731 E Blithedale Ave,Mill Valley,CA,94941,37.9025154,-122.5259
10320,Blossom Hill,Open,Northern California,NC,California,"Gilroy, CA",West,UNFI,Uncovered,No,mapped,1146 Blossom Hill Rd,San Jose,CA,95118,37.2494202,-121.877
10130,Boca Raton,Open,Florida,FL,Southeast,"Sarasota, FL",East,UNFI,Final Touch,No,mapped,1400B Glades Rd,Boca Raton,FL,33431,26.3659935,-80.1149
10284,Boise,Open,Northern California,NC,Central West,"Aurora, CO",West,UNFI,Uncovered,No,mapped,401 S Broadway Ave,Boise,ID,83702,43.6077805,-116.1945
10785,Boulder Table Mesa,Open,Rocky Mountain,RM,Central West,"Aurora, CO",,UNFI,Basemakers,No,inferred (region modal),695 S Broadway St,Boulder,CO,80305,39.9831047,-105.2485
10236,Bowery,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,Yes,mapped,95 E Houston St,New York,NY,10002,40.7237778,-73.9924
10551,Bowman,Open,Southwest,SW,Midwest,"Lancaster, TX",West,UNFI,Uncovered,No,mapped,501 S Bowman Rd,Little Rock,AR,72211,34.7502823,-92.4056
10805,Boynton Beach,Open,Florida,FL,Southeast,"Sarasota, FL",,UNFI,Uncovered,No,inferred (region modal),7395 Boynton Beach Blvd,Boynton Beach,FL,33437,26.5291004,-80.1632
10786,Bozeman,Open,Rocky Mountain,RM,Central West,"Aurora, CO",,UNFI,Uncovered,No,inferred (region modal),2905 W Main St,Bozeman,MT,59718,45.6716003,-111.078
10556,Bradburn,Open,Rocky Mountain,RM,Central West,"Aurora, CO",West,UNFI,Basemakers,No,mapped,4451 Main St,Westminster,CO,80031,39.9134064,-105.0447
10594,Brea,Open,Southern Pacific,SP,California,"Moreno Valley, CA",West,UNFI,Basemakers,No,mapped,3301 E Imperial Hwy,Brea,CA,92823,33.91008,-117.8514
10074,Brentwood,Open,Southern Pacific,SP,California,"Moreno Valley, CA",West,UNFI,Basemakers,No,mapped,11737 San Vicente Blvd,Los Angeles,CA,90049,34.0536766,-118.4674
10094,Briarcliff,Closed,South,SO,Southeast,"Atlanta, GA",East,Unknown,Uncovered,No,mapped,2111 Briarcliff Rd NE,Atlanta,GA,30329,33.8158112,-84.3333
10266,Bridgeport,Open,Pacific Northwest,PN,Central West,"Ridgefield, WA",West,UNFI,Basemakers,No,mapped,7380 SW Bridgeport Rd,Tigard,OR,97224,45.3944321,-122.7516
10639,Bridgewater,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,No,mapped,319 Chimney Rock Rd,Bound Brook,NJ,8805,40.5762405,-74.5623
10015,Brighton,Open,North Atlantic,,North Atlantic & International,"Chesterfield, NH",East,Rainforest,Uncovered,No,mapped,15 Washington St,Brighton,MA,2135,42.3428574,-71.1404
10522,Broad Street,Open,Southwest,SW,Southeast,"Lancaster, TX",West,UNFI,Uncovered,No,mapped,300 N Broad St,New Orleans,LA,70119,29.9671993,-90.0848
10768,Brookhurst,Open,Southern Pacific,SP,California,"Moreno Valley, CA",,UNFI,Basemakers,No,inferred (region modal),10081 Adams Ave,Huntington Beach,CA,92646,33.6734009,-117.9523
10508,Brookline,Closed,North Atlantic,,North Atlantic & International,"Dayville, CT",East,Rainforest,Final Touch,No,mapped,1026-1028 Beacon Street,Brookline,MA,2446,42.3461456,-71.1083
10220,Brooklyn,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,Yes,mapped,214 3rd St,Brooklyn,NY,11215,40.6750298,-73.9889
10578,Bryant Park,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,No,mapped,1095 Avenue of the Americas,New York,NY,10036,40.754631,-73.9848
10601,Buffalo,Open,Northeast,NE,North Atlantic & International,"Montgomery, NY (HVA)",East,Rainforest,Uncovered,No,mapped,3139 Sheridan Dr,Amherst,NY,14226,42.9790497,-78.817
10545,Burbank,Open,Southern Pacific,SP,California,"Moreno Valley, CA",West,UNFI,Basemakers,No,mapped,3401 W Olive Ave,Burbank,CA,91505,34.1542931,-118.3379
10051,"CVL Charlottesville, VA (CLOSED)",Closed,Mid-Atlantic,MA,Southeast,"York, PA",,Unknown,Uncovered,No,inferred (region modal),1416 Seminole Tr,Charlottesville,VA,22901,38.0769997,-78.4806
10010,Cambridge,Open,North Atlantic,,North Atlantic & International,"Dayville, CT",East,Rainforest,Final Touch,No,mapped,115 Prospect St,Cambridge,MA,2139,42.3681335,-71.1024
10476,Camelback,Open,Southern Pacific,SP,Central West,"Moreno Valley, CA",West,UNFI,Uncovered,No,mapped,4701 N 20th St,Phoenix,AZ,85016,33.5064697,-112.0379
